序号,地址1,地址2,室,厅,面积,朝向,装修,楼层,年份,楼种,价格
653,万航渡路2538号,中山公园,1,1,37.05,南,简装,5,1987,板楼,208
654,永和二村,永和,2,0,55.44,南北,简装,3,1995,板楼,295
655,圣鑫苑,周浦,2,2,99.11,南,精装,3,2008,板楼,368
656,佳信都市花园(公寓),新华路,2,2,120.72,南,精装,4,1997,塔楼,875
657,延长小区(闸北),大宁,2,0,45.17,南,精装,5,1980,板楼,386
658,常德路958弄,江宁路,2,1,50.35,南北,精装,3,1983,板楼,425
659,金杨新村九街坊,金杨,2,1,54.78,南,简装,3,1993,板楼,298
660,三盛颐景园(公寓),九亭,2,2,94.87,南,简装,2,2006,板楼,350
661,同润菲诗艾伦,泗泾,1,1,54.92,西,精装,8,2010,塔楼,162
662,联洋花园(二期),联洋,3,2,178.11,南,精装,3,2002,板楼,1330
663,世茂湖滨花园(公寓),碧云,2,2,136.79,南,精装,15,2003,板楼,1350
664,建华新苑,花木,4,2,164.12,南,精装,4,2003,板楼,1395
665,百汇园,徐汇滨江,2,2,110.58,南,精装,30,2008,板楼,1437
666,德怡苑,长寿路,2,2,87.48,南,简装,10,1989,塔楼,499
667,金星苑,斜土路,4,3,153.8,南,精装,5,1999,板楼,1130
668,静安艺庭,江宁路,2,2,90.84,西南,简装,5,2000,塔楼,999
669,上海壹街区,南京西路,2,2,98,北南,精装,17,2003,板楼,999
670,政立路830弄,五角场,2,1,66.6,南,简装,2,1995,板楼,413
671,虹桥河滨花园,中山公园,3,2,151.38,南,精装,16,2004,板楼,1200
672,强生花苑,龙华,3,2,118.52,南,简装,16,2001,塔楼,910
673,新凯二期,泗泾,3,2,92.17,南,毛坯,5,2009,板楼,275
674,星河世纪城,真如,2,2,95.62,南,毛坯,21,2008,板楼,652
675,泰宸苑,长征,3,2,117.76,南,精装,6,1998,板楼,580
676,乾骏园,龙华,3,1,90.41,南,精装,5,1994,板楼,739
677,海尚康庭,康桥,2,2,74.91,南,简装,7,2008,板楼,269
678,浦联佳苑,阳城,2,1,72.25,南,精装,11,2013,板楼,495
679,聚缘南庭,闵浦,2,1,74.95,南北,毛坯,7,2013,板楼,235
680,威宁小区,仙霞,1,1,38.63,南,毛坯,2,1990,板楼,258
681,黎明花园,七宝,1,1,34.16,南,毛坯,5,1996,板楼,210
682,德华一村,南翔,2,2,72.18,南北,精装,5,1994,板楼,285
683,化工小区(静安),南京西路,2,1,61.71,南,精装,6,1987,板楼,526
684,老西门新苑,老西门,3,2,154.19,南,精装,27,2006,板楼,1600
685,聚缘北庭,闵浦,2,1,74.3,南北,毛坯,2,2013,板楼,215
686,恒杰丁香花园,松江大学城,1,1,64.79,南,简装,3,2007,板楼,220
687,曙光路25弄,川沙,2,1,71.15,南,毛坯,5,1994,板楼,243
688,紫勋风雅苑,新华路,1,2,76.29,南,精装,6,2010,板楼,622
689,乐山四五村,徐家汇,2,1,49.86,南,精装,2,1989,板楼,520
690,海尚墅林苑,海湾,2,1,88.4,南,毛坯,4,2013,板楼,150
691,恒大华城东林苑,杨思前滩,2,1,65.63,南,简装,2,2002,板楼,430
692,铂金华府,大华,2,2,86.38,南北,简装,2,2008,板楼,610
693,天环苑,川沙,2,2,76.11,南,毛坯,5,2008,板楼,208
694,赤峰小区,曲阳,2,1,63.1,南,简装,6,1990,塔楼,330
695,汇秀景苑三街坊,闵浦,2,2,77.15,南北,毛坯,11,2013,板楼,235
696,金沁苑,航头,2,1,79.2,南,毛坯,14,2013,板楼,240
697,中星恬园,洋泾,1,1,53.74,南,简装,2,2009,板楼,640
698,华城秀庭,杨思前滩,2,2,88.66,南北,简装,3,2004,板楼,645
699,乾溪二村,大场镇,1,1,42.9,南,精装,3,1995,板楼,200
700,阳升公寓,梅园,1,0,32,南,毛坯,2,1987,板楼,458
701,鹤沙航城东茗苑,航头,2,1,72.58,南,毛坯,5,2012,板楼,239
702,红梅小区(嘉定),安亭,2,1,47.35,南,简装,3,1983,板楼,123
703,新凯城银杏苑,泗泾,2,1,70.67,南,毛坯,4,2012,板楼,203
704,朱家滩小区,潍坊,1,1,40.04,南,精装,2,1985,板楼,425
705,九城湖滨国际,九亭,1,1,59.93,南,精装,8,2009,板楼,304.8
706,欣佳宝邸东区,闵浦,2,2,76.2,南,精装,4,2011,板楼,250
707,万宇阳光苑,新桥,2,1,77.11,南,精装,9,2009,板楼,227
708,牡丹逸庭,泗泾,2,1,75.57,南北,毛坯,4,2012,板楼,192
709,韵都城,控江路,2,2,99.11,南北,简装,16,2004,板楼,755
710,虹梅菁典,春申,1,2,64.4,南,简装,10,2011,板楼,375
711,临沂六村,南码头,1,1,37.31,南,毛坯,5,1992,板楼,190
712,馨佳园(菊泉街1346弄),顾村,2,2,75.37,南,简装,11,2011,板楼,285
713,聚缘南庭,闵浦,2,1,74.35,南,毛坯,4,2013,板楼,225
714,金桥新村四街坊,金桥,2,1,64.93,南,简装,5,1997,板楼,388
715,美罗家园金丰苑,罗店,1,1,53.1,南,毛坯,4,2014,板楼,143
716,昱龙家园,康桥,1,1,59.34,南,简装,3,2006,板楼,208
717,桃园新城中虹佳园,周浦,2,1,86,南,毛坯,6,2007,板楼,288
718,浦江馨都,闵浦,2,2,74.09,南,简装,2,2013,板楼,250
719,蓝城小区,金桥,1,1,44.03,南,精装,3,1994,板楼,280
720,华泽新苑,新桥,2,1,74.02,南,精装,9,2007,板楼,205
721,中阳小区,中山公园,1,1,42.14,南,简装,4,1994,板楼,297
722,馨佳园(菊盛路851弄),顾村,2,2,73.05,南北,毛坯,4,2011,板楼,311
723,采菊苑,顾村,1,1,57.98,南,毛坯,4,2008,板楼,246
724,东方冠郡二期,新场,2,2,99.42,南,毛坯,4,2013,板楼,292
725,世纪之门,长寿路,2,2,60.61,南,精装,18,2001,板塔结合,488
726,新高苑(二期),高行,1,1,57.31,南,简装,8,2008,板楼,295
727,高行绿洲(二期),高行,1,1,57,南,毛坯,6,2010,板楼,246
728,金鹏苑,金桥,2,2,71.12,南,精装,5,1997,板楼,430
729,丽景新苑,丰庄,1,1,52.27,南,简装,4,1999,板楼,253
730,金铭文博水景(公寓),颛桥,2,2,93.63,南,简装,7,2014,板楼,493
731,永业小区,金桥,2,1,65.79,南,精装,2,1994,板楼,330
732,汇秀景苑一街坊,闵浦,2,1,77.78,南,毛坯,3,2013,板楼,240
733,民东公寓,南翔,2,1,82.28,东南,简装,6,2000,板楼,310
734,缘圆宝邸,江桥,2,2,72.63,南北,简装,2,2008,板楼,350
735,市光二村,中原,2,1,67.63,东南,精装,4,1997,塔楼,330
736,解放新村,南桥,2,1,46.9,南,简装,2,1980,板楼,96
737,乾溪二村,大场镇,1,1,45.06,南,毛坯,5,1995,板楼,179
738,恒升大厦,蓬莱公园,1,1,57.95,南,精装,21,1999,塔楼,472
739,天和湖滨家园(公寓),川沙,1,1,73.27,南,精装,6,2010,板楼,232
740,九城湖滨国际,九亭,2,2,87.8,西东,精装,4,2009,板楼,383
741,梅花新村(花木),花木,1,1,37.53,南,精装,5,1994,板楼,333
742,天环苑,川沙,1,1,55.08,南,简装,3,2008,板楼,160
743,九歌上郡,静安新城,1,1,57.72,南,毛坯,6,2006,板楼,428
744,宛轻公寓,徐家汇,1,1,46.62,南北,精装,6,1986,塔楼,379
745,古美四村,古美,1,1,54.32,南,简装,3,1995,板楼,305
746,文化花园明珠苑,五角场,2,2,97.5,南,精装,2,2001,板楼,690
747,毕加索小镇(一期)(公寓),唐镇,2,2,93.34,南北,简装,2,2010,板楼,545
748,龙州小区,华东理工,2,1,64.96,南,简装,5,1994,板楼,370
749,新凯一期,泗泾,2,1,77.26,南北,精装,6,2006,板楼,266
750,清涧四街坊,真光,3,2,124.74,南,简装,5,2000,板楼,511
751,真北二街坊,真如,2,1,60.66,南,精装,3,1990,板楼,345
752,华沁家园,植物园,1,1,56.19,南西,精装,27,2011,板塔结合,400
753,荡湾新村,惠南,2,1,54.99,南,简装,2,1985,板楼,129
754,真光九街坊,真光,2,1,49.59,南北,毛坯,5,1995,板楼,228
755,美岸栖庭(公寓),高境,1,2,67.6,南,精装,9,2013,板楼,410
756,宜浩佳园,临港新城,3,2,109.54,南北,精装,1,2009,板楼,385
757,梅岭苑,曹杨,2,1,67.04,西南,精装,12,1999,塔楼,410
758,奥林匹克花园,九亭,2,2,81.7,南,精装,4,2006,板楼,338
759,新南家园,西渡,2,2,97.67,南,毛坯,2,2006,板楼,237
760,万景园,长征,2,2,110.41,南北,精装,6,2004,板楼,725
761,三盛颐景园(公寓),九亭,3,2,104.86,南北,精装,3,2007,板楼,355
762,思南公馆,淮海中路,2,2,138.85,东南南西,精装,2,2010,板楼,1825
763,虹桥帝梵尼,金虹桥,2,3,104.45,南,精装,2,2006,板楼,688
764,和欣国际花园,共康,2,2,80.17,南,精装,4,2013,板楼,520
765,淞南七村,淞南,2,1,70.48,南,简装,5,1994,板楼,263
766,住友公寓,万体馆,2,2,99.22,南,精装,11,1997,塔楼,735
767,江海二村(奉贤),南桥,2,2,84.91,南,简装,5,1996,板楼,133
768,保利西子湾,松江大学城,1,1,59.7,南,精装,4,2009,板楼,248
769,和润家园(公寓),古美,2,2,104.38,南,精装,2,2004,板楼,719
770,海尚康庭,康桥,2,2,72.99,南北,毛坯,2,2008,板楼,285
771,创新佳苑,唐镇,2,2,90.81,南,精装,2,2013,板楼,370
772,骏豪国际,南京西路,1,1,53.04,东北,简装,14,2004,塔楼,324
773,三林世博家园(大道站路94弄),杨思前滩,3,2,115.78,南,简装,5,2006,板楼,538
774,万荣小区,阳城,1,1,41.65,南,简装,3,1994,板楼,230
775,舒乐小区,华东理工,2,1,70.25,南,精装,2,1995,板楼,410
776,河滨城市花园,曹路,3,2,123.1,南北,简装,2,2006,板楼,545
777,锦秋花园,上大,2,1,107.19,南北,精装,2,2007,板楼,488
778,古美西路316弄,古美,2,2,84.46,南,精装,5,1996,板楼,445
779,华菁公寓,航华,2,1,71.15,东南,精装,3,1994,塔楼,262
780,金杨新村十街坊,金杨,2,1,59.99,南,简装,3,1995,板楼,295
781,盛宅新村,顾村,2,1,72.87,南,精装,5,1997,板楼,265
782,新城尚上城,安亭,2,2,82.65,南,精装,4,2013,板楼,242
783,绿洲康城亲水湾(东区),御桥,2,2,100.73,南,精装,2,2010,板楼,525
784,共富一村,共富,2,2,93.66,南,简装,5,1996,板楼,339
785,茂盛城市花园,七宝,2,2,87.05,南,精装,2,1999,板楼,668
786,金塔新村,颛桥,2,1,83.03,南北,精装,5,1994,板楼,252
787,金唐公寓,唐镇,2,1,59.72,南,精装,3,2006,板楼,252
788,连波路228弄,北蔡,2,1,61.97,南,简装,4,1996,板楼,355
789,水塘小区,真如,2,1,54.54,南北,精装,5,1989,板楼,264
790,文华苑(宝山),大华,2,2,82.82,南,简装,3,1998,板楼,480
791,大华锦绣华城(一街区),北蔡,1,1,52.31,南北,精装,5,2008,板楼,389
792,中大九里德(公寓),九亭,2,2,89.83,南,精装,8,2010,板楼,395
793,瀚盛家园,唐镇,2,2,87.15,南,毛坯,5,2009,板楼,360
794,昌七小区,世博,3,2,110.37,南,精装,3,1996,板楼,599
795,中紫小区,虹桥,2,1,69.71,西南,简装,8,1996,塔楼,428
796,钦州南路300弄,康健,1,1,51.65,南,毛坯,3,1994,板楼,320
797,和欣国际花园,共康,2,2,96.97,南北,精装,4,2009,板楼,635
798,文华苑(宝山),大华,3,2,105.1,南北,精装,2,1999,板楼,630
799,保利天鹅语,嘉定新城,2,2,89.81,南,简装,16,2014,板楼,338
800,馨佳园(菊盛路851弄),顾村,3,2,96.18,南北,精装,4,2011,板楼,382
801,延吉一村,控江路,2,1,51.86,南北,简装,5,1981,板楼,289
802,祥东小区(虹口),曲阳,2,0,45.23,南,精装,5,1980,板楼,306
803,高行绿洲(六期),高行,2,1,67.11,南,简装,4,2011,板楼,257
804,水语人家北苑,闵浦,2,1,76.55,南,毛坯,6,2009,板楼,268
805,香逸湾,杨行,3,2,88.81,南北,精装,6,2009,板楼,398
806,远中风华园(公寓),南京西路,1,1,66.02,南,精装,4,2011,板楼,805
807,月浦九村,月浦,1,1,38.44,南北,简装,3,1989,板楼,128
808,龙柏四村,龙柏,2,1,54.66,南北,简装,3,1995,板楼,305
809,旭辉华庭（住宅）,嘉定新城,2,2,74.94,南北,精装,4,2013,板楼,318
810,金丰新村,丰庄,2,1,63.1,南北,精装,4,1994,板楼,288
811,金水新苑,南桥,3,2,131.54,南,简装,5,2010,板楼,256
812,正阳世纪星城居礼苑,南桥,4,2,163.83,南北,简装,7,2005,板楼,440
813,松乐南苑,松江老城,3,1,98.92,南,精装,5,1996,板楼,267
814,徐汇公寓,康健,2,2,93.2,南,简装,4,2004,板楼,690
815,金杨新村十街坊,金杨,3,1,71,南,精装,5,1995,板楼,378
816,东苑佳佳花园,古美,2,1,76.04,南,精装,5,1998,板楼,375
817,星颂家园,曹路,3,2,115.68,南北,精装,6,2011,板楼,460
818,天山二村,中山公园,2,1,56.86,南,简装,2,1991,板楼,440
819,合生城邦四街坊,老闵行,2,1,71.39,南,精装,4,2012,板楼,263
820,中虹家园,曹路,2,1,70.87,南,精装,14,2011,板楼,310
821,三林世博家园(新浦路91弄),杨思前滩,3,2,129.15,南,简装,2,2006,板楼,598
822,农房唐镇壹号,唐镇,3,2,113,南,精装,8,2015,板楼,520
823,宝仪花苑,七宝,2,2,80.83,南,简装,3,1997,板楼,558
824,保利天鹅语,嘉定新城,2,2,89.65,南,精装,9,2014,板楼,358
825,永泰花苑,三林,2,2,81.72,南,简装,4,2005,板楼,475
826,崧泽华城逸泰雅苑,赵巷,3,1,80.92,南,简装,4,2014,塔楼,249
827,德邑小城(公寓),松江新城,3,2,90.16,南,精装,9,2009,板楼,312
828,夏朵园,老闵行,3,2,117.23,南,简装,4,2008,板楼,360
829,中信虹港名庭,临平路,2,2,87,南,精装,8,2011,板楼,849
830,中环一号(二期),大华,3,2,125.29,南,精装,8,2012,板楼,768
831,瑞金尊邸,斜土路,2,1,97.64,南,精装,4,2006,板楼,865
832,锦秋花园,上大,3,2,129.94,南北,精装,12,2007,板楼,635
833,欧风花都,古美,2,2,105.05,南,精装,3,2003,板楼,724
834,紫虹嘉苑,临平路,2,2,101.05,南北,精装,6,2003,板楼,849
835,杨泰二村,杨行,3,1,85.45,南,精装,2,1993,板楼,335
836,黎明花园,七宝,2,1,71.05,南,精装,2,1997,板楼,335
837,宝山二村,淞宝,2,1,69.6,南北,精装,2,1996,板楼,310
838,云锦名苑,泥城镇,3,2,104.4,南,毛坯,2,2006,板楼,195
839,玉兰香苑(四期),张江,2,2,95.5,南北,简装,3,2008,板楼,482
840,万寿新村(青浦),盈浦,3,1,62.61,南北,简装,2,1994,板楼,185
841,梧桐城邦(一期),大华,2,2,97.55,南北,精装,4,2006,板楼,512
842,莱顿小城,松江大学城,3,2,91.03,南北,精装,6,2012,板楼,380
843,黎安四村,莘庄,2,2,69.63,南,简装,5,1997,板楼,285
844,西湖苑,莘庄,2,1,62.07,南,精装,5,1995,板楼,244
845,碧云新天地(二期),金桥,2,1,94.23,南,精装,13,2004,板楼,720
846,三花现代城(二期香梅苑),高境,2,2,94.09,南东,精装,8,2008,板楼,555
847,钦州花苑,田林,2,1,79.77,南,简装,24,1993,塔楼,499
848,罗锦苑,梅陇,3,2,107.87,南,精装,5,1998,板楼,420
849,欣菊苑,宣桥,3,2,120.65,南,毛坯,3,2008,板楼,226
850,花木新村,北蔡,2,1,75.13,南北,精装,3,1994,板楼,400
851,李园二村,嘉定老城,2,1,67.48,南,简装,5,1989,板楼,179
852,郁庭峰,北新泾,3,2,134.6,南,简装,6,2002,板楼,850
853,和源名城,彭浦,2,1,75.85,南北,精装,8,2011,板楼,450
854,海尚东苑,曹路,3,2,115.93,南,毛坯,8,2011,板楼,452
855,崮山小区四街坊,洋泾,3,1,81.09,南,精装,5,1997,板楼,715
856,延平路345弄,曹家渡,2,1,53.82,南北,精装,5,1988,板楼,409
857,水仙苑,仙霞,2,1,68.77,西南,精装,6,1993,塔楼,404
858,水岸豪庭,武宁,2,2,121.07,南北,精装,8,2003,板楼,1050
859,联鑫坊,高行,2,1,75.68,南,精装,3,1998,板楼,435
860,虹延小区,西郊,2,1,62.93,南,简装,4,1995,板楼,355
861,盘古天地,嘉定新城,2,1,69.22,南,精装,9,2012,板楼,282
862,东体小区,曲阳,2,1,51.77,南北,精装,5,1984,板楼,342
863,东城新村,杨东,3,2,104.25,南,精装,4,2003,板楼,659
864,万科金色领域,菊园新区,3,2,88.9,南北,精装,4,2013,板楼,315
865,爱庐世纪新苑,颛桥,2,2,82.69,东北,精装,8,2007,板楼,365
866,雅典花苑,古北,2,2,133.43,南,精装,4,1996,板楼,820
867,华富小区,万体馆,2,1,78.96,南,简装,2,1999,板楼,568
868,林荫大楼,老西门,2,2,82.48,西东,精装,4,1990,塔楼,598
869,双秀南园,康桥,3,2,122.07,南,简装,2,2004,板楼,498
870,东方城市花园(二期),南码头,4,2,154.49,东南北,精装,11,2005,板楼,1180
871,德华四村,南翔,3,2,117,南北,精装,5,2002,板楼,470
872,新梅淞南苑,淞南,2,2,72.72,南,精装,7,2008,板楼,428
873,夏朵园,老闵行,2,2,98.2,南,精装,10,2008,板楼,324
874,馨佳园(菊盛路851弄),顾村,2,2,73.37,南北,精装,4,2011,板楼,309
875,仁缘坊,黄兴公园,2,1,84.15,南,简装,3,2001,板楼,599
876,通河六村,通河,2,1,67.66,南,精装,2,1994,板楼,303
877,上海师大新村,康健,2,1,77.67,南,简装,15,1996,塔楼,560
878,仙霞大郡,北新泾,2,2,85.31,南,精装,5,1999,板楼,555
879,天和湖滨家园(公寓),川沙,2,2,85.88,南,毛坯,10,2010,板楼,278
880,桃园新城中虹佳园,周浦,3,2,95.69,南,精装,2,2007,板楼,358
881,永和二村,永和,2,1,58.78,南,精装,5,1995,板楼,305
882,顺驰美兰湖,罗店,2,2,91.61,南,精装,2,2011,板楼,352
883,朗庭上郡苑(公寓),九亭,3,2,69.02,南,精装,3,2010,板楼,319
884,解放新村,南桥,3,2,100.36,南北,精装,5,1997,板楼,158
885,金杨新村五街坊,金杨,2,1,59.5,南,精装,5,1994,板楼,322
886,上南春天苑,杨思前滩,3,2,123.71,南北,简装,6,2004,板楼,749
887,真源小区,长征,2,2,124.8,南,精装,9,2000,板楼,670
888,同润菲诗艾伦,泗泾,3,2,85.57,南,精装,14,2012,板楼,278
889,万业紫辰苑,杨行,5,2,167,南北,精装,26,2012,板楼,720
890,共和新路1869弄,大宁,1,1,34.47,南,精装,5,1978,板楼,250
891,三湘四季花城,松江大学城,3,2,107.29,南北,精装,4,2008,板楼,502
892,美林小城,康桥,2,2,87.9,南,精装,3,2005,板楼,395
893,嘉和花苑,梅陇,2,2,109.84,南,精装,2,2002,板楼,709
894,新长征花苑,长征,2,1,64.56,南,精装,5,1997,板楼,368
895,城中花园,康桥,3,2,91.62,南,精装,8,2012,板楼,468
896,绿地璀璨天城,老闵行,2,2,82,南北,精装,4,2015,板楼,343
897,象屿品城,九亭,2,2,124.74,南,精装,3,2015,板楼,400
898,育秀六区,南桥,2,2,97,南,简装,2,1998,板楼,207
899,保利林语溪(公寓),三林,2,2,89.63,南,精装,2,2011,板楼,485
900,东方都市景苑,临平路,2,2,104.82,南,精装,14,2002,板楼,880
901,金杨新村八街坊,金杨,2,1,82.06,南,精装,6,1996,塔楼,418
902,育秀九区,南桥,3,1,88.6,南,精装,4,1998,板楼,190
903,新城香溢璟庭(一期),嘉定新城,3,2,93.06,南,精装,4,2015,板楼,390
904,金杨新村四街坊,金杨,2,1,60.53,南,简装,5,1995,板楼,443
905,美岸栖庭(公寓),高境,1,2,68.07,南,精装,4,2013,板楼,402
906,四季园,徐家汇,2,2,113.17,南,精装,24,1999,板楼,1140
907,和田小区,西藏北路,1,1,27.58,北,精装,2,1986,板楼,180
908,高境一村,高境,2,1,75.75,南,精装,6,1995,板楼,347
909,华秀小区,中山公园,1,1,38.17,南,精装,3,1994,板楼,268
910,五原路87弄,衡山路,1,1,36.89,东南北,精装,1,1984,板楼,445
911,东鼎名人府邸(松江),松江新城,3,2,186.03,南,精装,12,2013,板楼,865
912,曹杨家园,真如,3,2,84.6,南北,毛坯,2,1997,板楼,490
913,大华公园世家康华苑,大华,3,2,97.08,南北,简装,5,2002,板楼,585
914,海苑大厦,洋泾,3,2,134.62,南北,精装,12,1998,板楼,950
915,新电小区,江湾镇,3,1,125.26,东南南,简装,15,1998,板楼,680
916,杨泰三村,杨行,3,1,91.14,南,精装,3,1994,板楼,309
917,真如西村,真如,1,1,49.23,南北,简装,3,1986,板楼,269
918,绿色丽园,大宁,1,1,55.91,南北,简装,3,2003,板楼,570
919,金舟苑,金桥,3,2,117.49,南,简装,2,2002,板楼,625
920,东城新村,杨东,2,1,64.91,南,简装,5,1999,板楼,550
921,振兴小区(徐汇),徐家汇,2,1,65.17,南,简装,3,1965,板楼,452
922,市光三村,中原,2,1,65.1,南,精装,5,1994,板楼,304
923,济阳一村,世博,2,1,56.57,南,精装,5,1989,板楼,308
924,绿海家园,川沙,2,1,66.17,南,精装,3,1995,板楼,225
925,梅陇三村,华东理工,1,1,40.07,南,精装,5,1993,板楼,226
926,闻喜小区,彭浦,2,1,50.11,南,精装,2,1985,板楼,282
927,国和二村,中原,2,1,56.8,东南,简装,5,1990,板楼,310
928,丰庄十四街坊,丰庄,1,1,50.04,南,简装,2,1996,板楼,236
929,市光二村,中原,1,1,41.4,南,精装,5,1990,板楼,196
930,龙柏二村,龙柏,1,1,42.28,南西南,简装,5,1994,板楼,216
931,上大阳光乾恩园,上大,2,2,102.53,南,精装,3,2003,板楼,475
932,长阳新苑,东外滩,3,2,110.57,南,简装,3,2000,板楼,768
933,嘉茵苑,大宁,4,2,170.1,南,精装,5,1998,板楼,900
934,城市经典二期(公寓),张江,4,2,171.72,南,精装,3,2005,板楼,1155
935,中海万锦城(一期),不夜城,2,2,90.26,南,简装,9,2010,板楼,805
936,旭辉亚瑟郡,康桥,3,2,133,南,精装,2,2015,板楼,730
937,望景苑,大宁,2,2,92.96,南,精装,4,2002,板楼,700
938,华润置地橡树湾,新江湾城,3,1,88.81,南,精装,10,2009,板楼,980
939,绿川新苑,北蔡,2,2,81.61,南,简装,2,1999,板楼,408
940,百汇园,徐汇滨江,3,2,198.83,南,精装,7,2016,板楼,2265
941,玉兰小区,北蔡,2,2,78.2,南北,简装,5,1995,板楼,388
942,蔚蓝城市花园,古美,3,2,115.06,南,简装,4,2004,板楼,818
943,华润置地橡树湾,新江湾城,3,2,167.23,南,精装,9,2012,板楼,1650
944,九英里,共康,2,1,77.32,南,精装,2,2007,板楼,448
945,裕德大厦,徐家汇,3,1,77.23,南西南,精装,6,1997,塔楼,738
946,绿地康桥新苑,康桥,2,2,93.68,南北,精装,6,2007,板楼,420
947,南园小区,打浦桥,2,1,75.34,西南,精装,7,1994,塔楼,585
948,皇家花园,虹桥,5,2,298.05,南北,毛坯,9,2007,板楼,2180
949,紫翠苑,高行,3,1,95.54,南,精装,3,2007,板楼,480
950,银都一村,彭浦,1,1,49.68,南,简装,5,1995,板楼,205
951,大华锦绣华城(十二街区),北蔡,4,2,161.37,南,简装,5,2003,板楼,900
952,天居玲珑湾,徐行,3,2,119.19,南北,精装,4,2013,板楼,299.8
953,中春三水苑,春申,2,2,90.43,南,精装,6,2011,板楼,465
954,祁连二村,上大,2,1,77.28,南北,简装,3,1997,板楼,333
955,华泾四村,华泾,1,1,49.78,南,简装,5,1995,板楼,228
956,沁秋小区,北新泾,2,1,48.38,南,精装,2,1995,板楼,278
957,水电路386弄,凉城,2,0,51.59,南,精装,4,1985,板楼,285
958,崧泽华城秀景苑,赵巷,2,1,67.69,南,毛坯,14,2014,塔楼,243
959,晶欣坊,梅陇,2,1,74.08,南北,毛坯,13,2013,板楼,471
960,和平小区(长宁),新华路,2,1,59.3,南北,精装,6,1988,板楼,430
961,中山北路2626弄,武宁,2,1,46.38,南,精装,2,1975,板楼,310
962,华欣家园,华泾,2,0,54.61,南,简装,6,2004,板楼,293
963,都市苑,莘庄,2,2,84.17,南北,简装,5,2002,板楼,460
964,聚丰景都,上大,2,1,87.77,南北,精装,3,2009,板楼,430
965,丰翔新城,上大,1,1,61.15,南,简装,12,2009,板楼,242
966,馨佳园(菊泉街1280弄),顾村,2,2,74.72,南北,简装,3,2010,板楼,310
967,兴银花园,颛桥,2,1,76.7,东南,精装,5,1995,板楼,292
968,汇颂南苑,闵浦,2,2,76.51,南,精装,6,2008,板楼,265
969,田林十三村,田林,1,0,29.91,南,简装,5,1986,板楼,260
970,平南三四村,古美,2,1,74.89,南,毛坯,3,1995,板楼,495
971,惠益新苑,惠南,1,1,57.91,南,毛坯,14,2014,板楼,152
972,惠益新苑南苑,惠南,2,1,79.69,南,毛坯,7,2014,板楼,199
973,金鼎香樟苑(西区),丰庄,1,2,76.99,南,毛坯,8,2012,板楼,390
974,欣佳宝邸(北区),闵浦,2,2,73.95,南北,精装,4,2011,板楼,278
975,中山北路197弄,闸北公园,1,1,25.91,东,简装,2,1990,板楼,162
976,金硕河畔景园西区,闵浦,2,2,76.14,南,精装,4,2010,板楼,250
977,双柏小区,吴泾,2,1,65.08,南,简装,5,1994,板楼,202
978,潍坊七村,潍坊,2,0,52.21,南西,精装,2,1983,板楼,455
979,华高二村,高行,2,2,72.02,南,简装,5,1998,板楼,300
980,长丰坊,康健,1,2,47.64,南,简装,5,1991,板楼,305
981,绿洲香岛花园,莘闵别墅,3,2,134.9,南北,精装,7,2005,板楼,530
982,东苑新天地,莘庄,3,2,120.61,南,精装,7,2004,板楼,677
983,滴水湖馨苑二期,临港新城,2,1,86.9,南北,毛坯,2,2012,板楼,335
984,金淙苑,洋泾,2,2,101.95,西南,精装,9,2001,塔楼,705
985,静安新城二区,静安新城,1,1,49.35,南,精装,5,1998,板楼,288
986,双柏小区,吴泾,2,1,59.15,南,简装,5,1994,板楼,160
987,三佳花苑,七宝,2,1,52.79,南,精装,4,1994,板楼,397
988,新梅广场,古美,3,2,101.91,南,简装,12,2000,板楼,570
989,塘和家园德宁苑,泗泾,3,1,84.71,南,毛坯,14,2015,板楼,244.5
990,明日新苑,丰庄,2,2,89.71,南北,简装,3,2002,板楼,435
991,宜浩佳园,临港新城,2,2,83.9,南,精装,1,2009,板楼,263
992,海洋小区,临港新城,2,2,97,南北,简装,2,2007,板楼,265
993,浦发绿城浦三路2801弄,三林,2,2,74.87,南北,精装,5,2004,板楼,378
994,上大阳光乾清园,上大,3,2,108.3,南,简装,2,2002,板楼,490
995,延长小区(闸北),大宁,2,1,43.62,南,简装,2,1980,板楼,430
996,栅桥小区,丰庄,2,1,63.2,南,简装,3,1996,板楼,229
997,宛龙小区,龙华,2,1,53.17,南,其他,2,1984,板楼,395
998,句容小区,江宁路,1,1,30.13,南东,精装,3,1989,板楼,245
999,绿洲康城亲水湾(中央区),御桥,3,2,99.45,南,毛坯,18,2015,板楼,535
1000,奥林匹克花园,九亭,2,2,104.44,南北,精装,2,2004,板楼,374
1001,长海坊,康健,3,1,72.06,南,简装,3,1990,板楼,479
1002,梅陇一村,梅陇,2,1,52.26,南,精装,4,1982,板楼,260
1003,梅陇五村,华东理工,2,1,53.08,南,简装,2,1991,板楼,299
1004,布鲁斯小镇(二期),惠南,3,2,96.7,南北,精装,4,2011,板楼,262
1005,逸流公寓,武宁,3,2,134.81,南北,毛坯,9,2008,板楼,1170
1006,大木小区,斜土路,2,0,48.66,北,简装,5,1985,板楼,345
1007,江桥二村,江桥,2,1,62.58,南,简装,5,1997,板楼,239
1008,凯旋路1800号,徐家汇,3,2,118.36,南,精装,4,1998,板楼,828
1009,德怡苑,长寿路,2,1,68.27,东南西北,简装,21,1990,塔楼,450
